id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	shipping
PEPLAB-SLU-PP-332	SLU-PP-332 5mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/slu-pp-332	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/slu-pp-332/5mg.png	out_of_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SNAP-8	SNAP-8 10mg	SNAP-8 is an anti-wrinkle peptide that works by reducing muscle contractions to minimize the appearance of expression lines.	https://peplab.ai/product/snap-8	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/snap-8/10mg.png	in_stock	68.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SEMAGLUTIDE	SEMAGLUTIDE 5mg	Semaglutide is a GLP-1 receptor agonist that supports weight management by reducing appetite and improving metabolic function.	https://peplab.ai/product/Semaglutide	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/semaglutide/5mg.png	in_stock	68.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-5-AMINO-1MQ	5-AMINO-1MQ 5mg	5-Amino-1MQ is a small molecule that inhibits NNMT enzyme, supporting metabolic health and body composition.	https://peplab.ai/product/5-amino-1mq	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/5-amino-1mq/5mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-PT-141	PT-141 10mg	PT-141 (Bremelanotide) is a peptide that works on the nervous system to support sexual health and libido in both men and women.	https://peplab.ai/product/pt-141	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/pt-141/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SS-31	SS-31 10mg	SS-31 (Elamipretide) is a mitochondria-targeted peptide that supports cellular energy production and mitochondrial health.	https://peplab.ai/product/ss-31	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/ss-31/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-BAC-WATER	BAC WATER 3mL	BAC WATER is a research peptide available at PEPLAB. High quality, Australian made.	https://peplab.ai/product/bac-water	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/bac-water/3ml.png	in_stock	12.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Supplies	AU:::0.00 AUD
PEPLAB-ACETIC-WATER	ACETIC WATER 3mL	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/acetic-water	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/acetic-water-3-ml-1783765427355.png	in_stock	18.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Supplies	AU:::0.00 AUD
PEPLAB-1ML-31G-6MM-SYRINGES	1mL 31G 6mm Syringes 20 pcs	Premium insulin syringes for precise peptide reconstitution and lab use.	https://peplab.ai/product/1ml-31g-6mm-syringes	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/1ml-31g-6mm-syringes-1774071769603.png	in_stock	25.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Supplies	AU:::0.00 AUD
PEPLAB-SHARPS-CONTAINER	SHARPS CONTAINER 1 L	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/sharps-container	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/sharps-container-1-l-1784107676935.png	out_of_stock	18.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Supplies	AU:::0.00 AUD
PEPLAB-NASAL-SPRAY-10ML	Glass Nasal Spray 10mL	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/nasal-spray-10ml	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/nasal-spray-10-ml-1784106419176.png	out_of_stock	12.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Supplies	AU:::0.00 AUD
